identifier,brand,platform,category,title,url,image,rating,reviews
B07QPC5SFS,Frida,Amazon,,"DermaFrida the Bath Mitt by Frida Baby | Toddler Quick-Dry Body Bath Brush, Silicone, Replacement to Kid's Washcloth | Fits Both Parent or Child for Early Stage Development",https://www.amazon.com/dp/B07QPC5SFS,https://m.media-amazon.com/images/I/81zJ+TgvK8L._AC_UL320_.jpg,4.5,1629
B099FHHWTJ,Frida,Amazon,,"Frida Mom Cracked Nipple Soothing Spray | All-Natural Saline Spray to Heal Sore, Cracked Breastfeeding Nipples | Spray + Air-Dry | Gentle for Baby + Mom | 2 Fl oz",https://www.amazon.com/dp/B099FHHWTJ,https://m.media-amazon.com/images/I/61sgGgVtG2L._AC_SX352_SY330_.jpg,4.6,1465
B099FHVN9F,Frida,Amazon,,Frida Mom No-Mess Nipple Cream | No-Mess Nipple Balm to Seal in Moisture to Help Hydrate | Gentle for Baby + Mom | 1.5 Fl oz,https://www.amazon.com/dp/B099FHVN9F,https://m.media-amazon.com/images/I/612e61-hb4L._AC_SX352_SY330_.jpg,4.6,1465
B099FJP2D2,Frida,Amazon,,"Frida Mom Sore Nipple Set | Cracked Nipple Saline Spray, No-Mess Nipple Cream | 2 Piece Set | Breastfeeding Set for New Moms",https://www.amazon.com/dp/B099FJP2D2,https://m.media-amazon.com/images/I/71Ea1yV7DZL._AC_SX352_SY330_.jpg,4.6,1465
B0823DRW2Q,Frida,Amazon,,FridaBaby Sleep Bath Bombs,https://www.amazon.com/dp/B0823DRW2Q,https://m.media-amazon.com/images/I/61qbwFnvyNL._AC_UL320_.jpg,4.6,1421
B08244GKV8,Frida,Amazon,,Frida Mom All-Natural Herbal + Epsom Salt Sitz Bath Tablets,https://www.amazon.com/dp/B08244GKV8,https://m.media-amazon.com/images/I/51sxU1+svML._AC_SX352_SY330_.jpg,4.4,1288
B07F172CJ4,Frida,Amazon,,"Baby Sick Day Prep Kit by FridaBaby - Includes NoseFrida Nasal Aspirator, MediFrida Pacifier Medicine Dispenser, Breathefrida Vapor Chest Rub + Snot Wipes. Soothe Stuffy Noses for Babies with A Cold",https://www.amazon.com/dp/B07F172CJ4,https://m.media-amazon.com/images/I/712brCgG-BL._AC_SX352_SY330_.jpg,4.8,1275
B08QPH9BMZ,Frida,Amazon,,Frida Mom Postpartum Supplement Set |Postpartum Gummies for Lactation (60 Count),https://www.amazon.com/dp/B08QPH9BMZ,https://m.media-amazon.com/images/I/61FfIVg6FcL._AC_SX352_SY330_.jpg,3.9,1246
B099FMQH4B,Frida,Amazon,,"Frida Mom Postpartum Supplement Set | Postpartum Gummies for Pooping, Postpartum Gummies for Hair, Skin + Nails, Postpartum Gummies for Lactation | 3 Piece Set | Breastfeeding Set for New Moms",https://www.amazon.com/dp/B099FMQH4B,https://m.media-amazon.com/images/I/71m21gp9nQL._AC_SX352_SY330_.jpg,3.9,1246
B099FL855W,Frida,Amazon,,Soft Sink Baby Bath by Frida Baby Easy to Clean Baby Bathtub + Bath Cushion That Supports Baby's Head,https://www.amazon.com/dp/B099FL855W,https://m.media-amazon.com/images/I/7145HG1pg-L._AC_UL320_.jpg,4,1195
B09M3CJNLT,Frida,Amazon,,Soft Sink Baby Bath and Control The Flow Rinser Cup Bundle | Bathtime Essentials for Infants,https://www.amazon.com/dp/B09M3CJNLT,https://m.media-amazon.com/images/I/712G-2KNjQL._AC_SX352_SY330_.jpg,4,1195
B08244BG3X,Frida,Amazon,,FridaBaby Mom Perineal Comfort Donut Cushion,https://www.amazon.com/dp/B08244BG3X,https://m.media-amazon.com/images/I/81IK83cjLNL._AC_UL320_.jpg,3.9,1103
B08QPKL4NK,Frida,Amazon,,Frida Mom Instant Heat Reusable Breast Warmers - Reusable Click-to-Heat Relief in an Instant for Nursing + Pumping Moms - 2 Sets - 2 Small + 2 Large Heat Packs,https://www.amazon.com/dp/B08QPKL4NK,https://m.media-amazon.com/images/I/71II2O9OmJL._AC_UL320_.jpg,4.2,1070
B0823FX2SL,Frida,Amazon,,FridaBaby Grooming Kit Includes Finger Brush with Storage Stand Hair Brush with Case Styling Hair Comb Easy Grip Nail Scissors with Nail File and Case,https://www.amazon.com/dp/B0823FX2SL,https://m.media-amazon.com/images/I/71aTaywr1DL._AC_UL320_.jpg,4.8,968
B08QPLVP2X,Frida,Amazon,,"Frida Mom Adjustable Nursing Pillow - Customizable Breastfeeding Pillow for Mom + Baby Comfort with Back Support, Adjustable Wrap Around Waist Strap, Pockets for Heat Relief",https://www.amazon.com/dp/B08QPLVP2X,https://m.media-amazon.com/images/I/91I745kLR1L._AC_UL320_.jpg,4.2,949
B097C2KBSN,Frida,Amazon,,Frida Mom Nursing Pillow Back + Belly Warmers | Reusable Click-to-Heat Relief in an Instant for Back + Belly | 1 set - 2 heat packs,https://www.amazon.com/dp/B097C2KBSN,https://m.media-amazon.com/images/I/61cZ8zl+GTS._AC_SX352_SY330_.jpg,4.2,949
B099LKN9M8,Frida,Amazon,,Frida Mom Adjustable Nursing Pillow with Nursing Pillow Back + Belly Warmers - for Mom + Baby Comfort During Nursing + Pumping,https://www.amazon.com/dp/B099LKN9M8,https://m.media-amazon.com/images/I/5127ZbDoV3L._AC_SX352_SY330_.jpg,4.2,949
B07RRYBTCL,Frida,Amazon,,Cold and Flu NoseFrida Bundle- 5 Items by Frida Baby,https://www.amazon.com/dp/B07RRYBTCL,https://m.media-amazon.com/images/I/71N35jqs9sL._AC_UL320_.jpg,4.8,946
B089352SXZ,Frida,Amazon,,Boogie Bundle,https://www.amazon.com/dp/B089352SXZ,https://m.media-amazon.com/images/I/71mvs7DwdCL._AC_SX352_SY330_.jpg,4.8,946
B08Q2R8KQ7,Frida,Amazon,,"3-in-1 Sound Machine, Air Purifier + Nightlight with 3 Fan Speeds and Easy-Change Filter by Fridababy",https://www.amazon.com/dp/B08Q2R8KQ7,https://m.media-amazon.com/images/I/610zAu0FSqL._AC_SX352_SY330_.jpg,4.5,805
B0846YN37L,Frida,Amazon,,Postpartum Recovery Essentials Kit + Upside Down Peri Bottle,https://www.amazon.com/dp/B0846YN37L,https://m.media-amazon.com/images/I/7160HGJMSIL._AC_UL320_.jpg,4.8,773
B09QH66GYZ,Frida,Amazon,,"Frida Mom Adjustable Keep-Cool Pregnancy Pillow | Support for Belly, Hips + Legs for Pregnant Women | Breathable + Cooling Grey Fabric",https://www.amazon.com/dp/B09QH66GYZ,https://m.media-amazon.com/images/I/81e9QHTCAnL._AC_SX352_SY330_.jpg,4.4,759
B08QPCTPSF,Frida,Amazon,,"Frida Mom Breast Mask for Lactation- Made with Fenugreek + Fennel to Increase Milk Supply - 2 Sheet Masks - No Artificial Fragrances, Phthalates, or Parabens",https://www.amazon.com/dp/B08QPCTPSF,https://m.media-amazon.com/images/I/711R0seDKkL._AC_SX352_SY330_.jpg,4.3,659
B08QPHB6LC,Frida,Amazon,,"Frida Mom Breast Mask for Hydration- Made with Aloe Vera, Honey, Tea Tree Oil + Cucumber to Nourish + Soothe Boobs- 2 Sheet Masks - No Artificial Fragrances, Phthalates, or Parabens",https://www.amazon.com/dp/B08QPHB6LC,https://m.media-amazon.com/images/I/61RlFu9JMDL._AC_SX352_SY330_.jpg,4.3,659
